symbol,regime,n,fwd1_mean,fwd3_mean,fwd6_mean,fwd12_mean,t_stat,p_value
BTCUSDT,high_2s,131,0.0011837762492652821,0.00497968729574746,0.008727490737823355,0.014545688798353513,0.7695691158821882,0.44295159519488647
BTCUSDT,high_1.5s,39,-7.092531511393583e-05,-0.0017753779197314716,0.003839960768156554,0.0015311639130140993,-0.024740605607131705,0.9803913340618784
BTCUSDT,high_1s,40,0.0005198774303113801,0.0016265730002881951,-0.001268673958729924,0.008905789546153797,0.22164446580975483,0.8257471619261268
BTCUSDT,neutral,3165,0.00032862305578546506,0.001289263833216762,0.002561052345848876,0.0054462448827299875,1.3768426961688092,0.16865829673171084
BTCUSDT,low_1s,232,0.002750261025475505,0.003385428373617533,0.006968545081882662,0.009745320113997641,2.896109059430229,0.004140827534862267
BTCUSDT,low_1.5s,61,0.0007093409820348824,0.0044861423453975815,0.009642692077765656,0.02180045690342419,0.4715316831048306,0.6389712834690104
BTCUSDT,low_2s,11,0.004199732349132886,0.005393236194473072,0.005813870441692298,0.008687958439532639,0.8053129983600167,0.4393674626793084
ETHUSDT,high_2s,145,-0.0008806323136214184,0.00039177271762431227,0.0016839116394133115,-0.001016000411471728,-0.5757123268814838,0.5657082480707445
ETHUSDT,high_1.5s,37,-0.004572153272530307,-0.0005375078294718922,-0.005732444564494555,0.0007954576723163746,-1.4331862262470736,0.1604327196069693
ETHUSDT,high_1s,51,0.00014564999364263372,-0.002829893811101976,0.0009639975963429115,0.007503480077668659,0.06034226839275911,0.9521235865109873
ETHUSDT,neutral,3171,0.00026526499650023565,0.0008067495794895512,0.0017720652332776446,0.003965919039077311,0.8292083244414411,0.4070489681959645
ETHUSDT,low_1s,191,0.0030255226805824707,0.005655553409271233,0.007652254264493328,0.010075321942835986,1.9570642622439456,0.05180490591574592
ETHUSDT,low_1.5s,58,0.0030374992342504037,0.0072573993302640855,0.006561801196663897,0.010184478734319375,1.1081320871023526,0.2724588442661024
ETHUSDT,low_2s,26,-0.0006810691913143874,-0.0017394037678742026,0.006266772874509411,-0.005076962922304793,-0.12200417020736115,0.9038711397031617
SOLUSDT,high_2s,35,0.006809834498824596,0.014768281443760954,0.04491492067174726,0.08669639881884487,1.0776989019984329,0.2887552793787426
SOLUSDT,high_1.5s,36,-0.001887825091887933,0.006721427271323028,0.010996665570214155,0.03866513629755804,-0.43058898868772055,0.6694073546646502
SOLUSDT,high_1s,65,0.0043622026598405,0.014506432376464371,0.015654242648098428,0.012217204048675353,1.2636462832140445,0.2109406112163871
SOLUSDT,neutral,3468,0.0006493312780867901,0.001908142137727556,0.003968510130662258,0.008562364387254696,1.5032159973170416,0.13287443220644718
SOLUSDT,low_1s,29,0.0020013630590851325,0.02743102929626267,0.032194646112219026,0.0561495026309813,0.46990962830998706,0.6420589268541408
SOLUSDT,low_1.5s,17,0.01154393106352715,0.019430247927480694,0.05398589813234741,0.06172605730418869,2.561816870003142,0.020897685546918874
SOLUSDT,low_2s,29,0.019783847059380043,0.04196808124981264,0.0794343614980727,0.08367038401641516,1.6918873265165058,0.10176911835993925
BNBUSDT,high_2s,33,0.002729783514150235,0.011422549313889637,0.021844153588909388,0.0440782941255424,0.4529951060241702,0.6536089408377783
BNBUSDT,high_1.5s,44,0.003129613233075875,0.013930982646896795,0.026749157288263156,0.02570118231202739,1.2139817957855308,0.23138030481043742
BNBUSDT,high_1s,128,0.0003853550685400742,0.0002402113484768582,0.004433143144236081,0.013578035798447107,0.17853982648915384,0.8585835423157839
BNBUSDT,neutral,3154,0.0004478281264731332,0.0013515798389275306,0.0021635873892081143,0.0036075674414412823,1.6345638396082403,0.10224034039547783
BNBUSDT,low_1s,89,-0.0022117497580449725,-0.0030461122601352507,-5.172580361711477e-05,0.006989883258888112,-1.6793402371583215,0.0966330951235097
BNBUSDT,low_1.5s,61,0.0004114876215591994,-0.0029295692759597576,-0.007050042133216896,-0.0040310058776338985,0.22617685135242765,0.8218326104299032
BNBUSDT,low_2s,170,-0.0002865987348345475,-0.002784610458143354,-0.0016639246493818656,0.005070096334017508,-0.2486705373720514,0.8039175728067918
XRPUSDT,high_2s,142,0.003065499819761062,0.00671313359211443,0.007093305110552445,0.017736567154448747,1.2480497583003038,0.21408140218141894
XRPUSDT,high_1.5s,43,0.0011296633876155253,-0.00387544652830756,-0.0022893285736332713,0.031033834572633385,0.27211867157740893,0.7868640750835174
XRPUSDT,high_1s,48,0.006980883358400622,0.005651959160360455,0.020460525246406368,0.04186467612679873,1.649391570257015,0.10573627033787876
XRPUSDT,neutral,3077,0.0004033687503176119,0.001847597035431765,0.003879422638498431,0.00776018719954187,0.9947036605637257,0.3199586536048285
XRPUSDT,low_1s,223,0.0006503776357054131,0.003594195688420892,0.003680536927576251,0.00040322210658492004,0.34755919526822326,0.7285005476930745
XRPUSDT,low_1.5s,92,0.0017012960494904583,-0.0004529244972314487,0.0005850408252231198,-4.0059729566666036e-05,0.5433439749374357,0.5882215336080532
XRPUSDT,low_2s,54,0.002120518106326443,0.0023457125209556777,0.004127361250007254,0.003949841526189472,0.6024216692815434,0.5494623847139929
