rank,symbol,listing_date,listing_days,vol_30d_median_usdt,category,bucket
1,SOLUSDT,2019-09-25,2421,1775761019.4993,L1,high_beta
2,ZECUSDT,2019-09-25,2421,831219339.88282,Privacy,mid_beta
3,DOGEUSDT,2019-09-25,2421,578549512.27944,Meme,meme
4,XRPUSDT,2019-09-25,2421,551671691.11458,Unknown,unknown
5,LABUSDT,2025-10-17,207,378538434.37177,Unknown,unknown
6,HYPEUSDT,2025-05-30,347,322353197.93194,Unknown,unknown
7,BNBUSDT,2019-09-25,2421,275547199.982,Exchange,mid_beta
8,1000PEPEUSDT,2023-05-05,1104,262612655.821549,Unknown,unknown
9,SUIUSDT,2023-05-03,1106,190351544.75814,L1,high_beta
10,TONUSDT,2024-03-01,802,157047426.83388,L1,high_beta
11,ADAUSDT,2019-09-25,2421,155468156.8219,L1,mid_beta
12,TAOUSDT,2024-04-11,761,136850787.54366,AI,high_beta
13,SKYAIUSDT,2025-05-13,364,116496929.1899,Unknown,unknown
14,AVAXUSDT,2019-09-25,2421,115904110.28,L1,high_beta
15,LINKUSDT,2019-09-25,2421,108492112.53878,Infra,mid_beta
16,NEARUSDT,2019-09-25,2421,92283337.25,L1,high_beta
17,ONDOUSDT,2024-01-20,843,89113688.74804,Unknown,unknown
18,ENAUSDT,2024-04-02,770,86480579.78254,Unknown,unknown
19,FILUSDT,2019-09-25,2421,83132129.3068,Storage,high_beta
20,AAVEUSDT,2019-09-25,2421,77898516.605,DeFi,mid_beta
21,PENGUUSDT,2024-12-17,511,75753825.101527,Unknown,unknown
22,PAXGUSDT,2025-03-27,411,73433097.82524,Unknown,unknown
23,TRUMPUSDT,2025-01-18,479,72546143.76154,Meme,meme
24,UBUSDT,2025-09-12,242,71676912.57599,Unknown,unknown
25,BCHUSDT,2019-09-25,2421,68262994.10715,Unknown,unknown
26,WLDUSDT,2023-07-24,1023,64111326.3327,AI,high_beta
27,LTCUSDT,2019-09-25,2421,64056923.91256,Infra,mid_beta
28,DOTUSDT,2019-09-25,2421,62161958.278,L1,mid_beta
29,1000LUNCUSDT,2022-09-08,1342,57445104.60863,Unknown,unknown
30,PUMPUSDT,2025-07-10,306,52655173.874662,Unknown,unknown
